name,inputs,outputs,gates,DFF,NOT,AND,NAND,OR,NOR
c1196,32,31,529,0,141,118,119,101,50
c1238,32,31,508,0,80,134,125,112,57
s27,5,1,13,3,2,1,1,2,4
s27a,5,1,13,3,2,1,1,2,4
s208,12,2,104,8,35,17,19,4,21
s298,4,6,133,14,44,31,9,16,19
s344,10,11,175,15,59,44,18,9,30
s349,10,11,176,15,57,44,19,10,31
s382,4,6,179,21,59,11,30,24,34
s386,8,7,165,6,41,83,0,35,0
s386a,8,7,165,6,41,83,0,35,0
s400,4,6,183,21,56,11,36,25,34
s420,20,2,212,16,74,28,46,9,39
s444,4,6,202,21,62,13,58,14,34
s510,20,7,217,6,32,34,61,29,55
s526,4,6,214,21,52,56,22,28,35
s526a,4,6,215,21,54,55,22,28,35
s641,36,24,398,19,272,90,4,13,0
s713,36,23,412,19,254,94,28,17,0
s820,19,19,294,5,33,76,54,60,66
s832,19,19,292,5,25,78,54,64,66
s838,36,2,422,32,149,58,89,16,78
s953,17,23,424,29,84,49,114,36,112
s1196,15,14,547,18,141,118,119,101,50
s1196a,15,14,547,18,141,118,119,101,50
s1196b,15,14,547,18,141,118,119,101,50
s1238,15,14,526,18,80,134,125,112,57
s1238a,15,14,526,18,80,134,125,112,57
s1423,18,5,731,74,167,197,64,137,92
s1488,9,19,659,6,103,350,0,200,0
s1494,9,19,653,6,89,354,0,204,0
s5378,36,49,2958,179,1775,0,0,239,765
s9234,37,39,5808,211,3570,955,528,431,113
s13207,63,152,8589,638,5378,1114,849,512,98
s15850,78,150,10306,534,6324,1619,968,710,151
s35932,36,320,17793,1728,3861,4032,7020,1152,0
s38417,29,106,23815,1636,13470,4154,2050,226,2279
s38584,39,304,20679,1426,7805,5516,2126,2621,1185
